accuracy;precision_class_0;recall_class_0;f1_class_0;precision_class_1;recall_class_1;f1_class_1;precision_class_2;recall_class_2;f1_class_2;precision_class_3;recall_class_3;f1_class_3
0.579136690647482;0.579136690647482;1.0;0.7334851936218678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5243553008595988;0.5419161676646707;0.9526315789473684;0.6908396946564884;0.0;0.0;0.0;0.13333333333333333;0.023255813953488372;0.0396039603960396;0.0;0.0;0.0
0.5218390804597701;0.537712895377129;0.9525862068965517;0.687402799377916;0.2222222222222222;0.028169014084507043;0.05;0.26666666666666666;0.03418803418803419;0.060606060606060615;0.0;0.0;0.0
0.4295676429567643;0.42628205128205127;0.9172413793103448;0.5820568927789934;0.3333333333333333;0.025210084033613446;0.046875;0.45714285714285713;0.1285140562248996;0.2006269592476489;0.5;0.11864406779661017;0.1917808219178082
0.45663265306122447;0.48770491803278687;0.7323076923076923;0.5854858548585485;0.2962962962962963;0.06504065040650407;0.10666666666666667;0.3951612903225806;0.4049586776859504;0.39999999999999997;0.6666666666666666;0.14893617021276595;0.2434782608695652
0.5275938189845475;0.543918918918919;0.8256410256410256;0.6558044806517311;0.25;0.0851063829787234;0.12698412698412698;0.532258064516129;0.38596491228070173;0.447457627118644;0.47058823529411764;0.2;0.2807017543859649
0.5167525773195877;0.5435992578849722;0.846820809248555;0.6621468926553673;0.3181818181818182;0.056910569105691054;0.09655172413793105;0.42408376963350786;0.36818181818181817;0.3941605839416058;0.8333333333333334;0.22988505747126436;0.36036036036036034
0.5458612975391499;0.5770491803278689;0.8341232227488151;0.6821705426356588;0.375;0.0375;0.06818181818181818;0.48333333333333334;0.46774193548387094;0.4754098360655738;0.5;0.21875;0.30434782608695654
0.5379537953795379;0.6336633663366337;0.757396449704142;0.6900269541778976;0.2222222222222222;0.0425531914893617;0.07142857142857142;0.3563218390804598;0.4246575342465753;0.38749999999999996;0.4;0.14285714285714285;0.21052631578947364
0.5509383378016086;0.6206225680933852;0.8075949367088607;0.7018701870187019;0.35714285714285715;0.047619047619047616;0.08403361344537814;0.4175257731958763;0.4175257731958763;0.4175257731958763;0.25;0.11538461538461539;0.15789473684210525
0.5538194444444444;0.6162790697674418;0.8603896103896104;0.7181571815718157;0.3333333333333333;0.03488372093023256;0.06315789473684211;0.3949579831932773;0.3533834586466165;0.373015873015873;0.2222222222222222;0.08163265306122448;0.11940298507462686
0.5840621963070942;0.6356382978723404;0.8535714285714285;0.7286585365853657;0.2;0.072992700729927;0.10695187165775402;0.44623655913978494;0.30855018587360594;0.3648351648351648;0.7317073170731707;0.47619047619047616;0.576923076923077
0.5435684647302904;0.6060606060606061;0.8130081300813008;0.6944444444444445;0.5555555555555556;0.053763440860215055;0.09803921568627452;0.41605839416058393;0.504424778761062;0.456;0.0;0.0;0.0
0.5326633165829145;0.6093457943925233;0.7931873479318735;0.689217758985201;0.34146341463414637;0.11023622047244094;0.16666666666666669;0.390625;0.3694581280788177;0.37974683544303794;0.32142857142857145;0.16363636363636364;0.21686746987951808
0.5524691358024691;0.632183908045977;0.7768361581920904;0.697084917617237;0.28125;0.10112359550561797;0.1487603305785124;0.4050632911392405;0.3699421965317919;0.38670694864048333;0.43478260869565216;0.3125;0.36363636363636365
0.5422885572139303;0.6210526315789474;0.8009049773755657;0.6996047430830041;0.3333333333333333;0.08333333333333333;0.13333333333333333;0.3617021276595745;0.3469387755102041;0.35416666666666663;0.25;0.08695652173913043;0.12903225806451613
0.5613718411552346;0.6216931216931217;0.8047945205479452;0.7014925373134329;0.42105263157894735;0.09523809523809523;0.1553398058252427;0.4429530201342282;0.43137254901960786;0.43708609271523186;0.25;0.08;0.12121212121212122
0.5903271692745377;0.66600790513834;0.8383084577114428;0.7422907488986783;0.34782608695652173;0.08;0.13008130081300814;0.4177215189873418;0.39759036144578314;0.4074074074074074;0.25;0.11428571428571428;0.1568627450980392
0.5210970464135021;0.6263736263736264;0.6895161290322581;0.6564299424184261;0.1;0.04081632653061224;0.05797101449275362;0.43506493506493504;0.46206896551724136;0.44816053511705684;0.25925925925925924;0.21875;0.23728813559322032
0.5152173913043478;0.5863309352517986;0.7511520737327189;0.6585858585858587;0.3333333333333333;0.1044776119402985;0.15909090909090906;0.42948717948717946;0.4652777777777778;0.4466666666666667;0.0;0.0;0.0
0.47074468085106386;0.5397489539748954;0.6789473684210526;0.6013986013986014;0.2857142857142857;0.10810810810810811;0.1568627450980392;0.37755102040816324;0.3894736842105263;0.38341968911917096;0.2727272727272727;0.17647058823529413;0.21428571428571427
0.5772230889235569;0.6297117516629712;0.8114285714285714;0.7091136079900124;0.3488372093023256;0.15789473684210525;0.21739130434782608;0.47101449275362317;0.436241610738255;0.4529616724738676;0.6666666666666666;0.1276595744680851;0.21428571428571427
0.50625;0.5625;0.81;0.6639344262295083;0.21052631578947367;0.09411764705882353;0.13008130081300812;0.41721854304635764;0.3333333333333333;0.3705882352941176;0.5263157894736842;0.15151515151515152;0.23529411764705885
0.5470668485675307;0.6354378818737271;0.7839195979899497;0.701912260967379;0.4;0.15789473684210525;0.22641509433962267;0.3674698795180723;0.34269662921348315;0.35465116279069775;0.3225806451612903;0.23255813953488372;0.2702702702702703
0.55858310626703;0.6693711967545639;0.7692307692307693;0.7158351409978307;0.11904761904761904;0.04672897196261682;0.06711409395973154;0.3882978723404255;0.47096774193548385;0.4256559766763848;0.18181818181818182;0.046511627906976744;0.07407407407407407
