accuracy;precision_class_0;recall_class_0;f1_class_0;precision_class_1;recall_class_1;f1_class_1;precision_class_2;recall_class_2;f1_class_2;precision_class_3;recall_class_3;f1_class_3
0.579136690647482;0.579136690647482;1.0;0.7334851936218678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5587392550143266;0.5652173913043478;0.9578947368421052;0.7109375;0.0;0.0;0.0;0.48148148148148145;0.1511627906976744;0.23008849557522124;0.0;0.0;0.0
0.535632183908046;0.5618279569892473;0.9008620689655172;0.6920529801324504;0.3333333333333333;0.014084507042253521;0.027027027027027032;0.38333333333333336;0.19658119658119658;0.2598870056497175;0.0;0.0;0.0
0.4435146443514644;0.43493761140819964;0.8413793103448276;0.573443008225617;0.0;0.0;0.0;0.48366013071895425;0.2971887550200803;0.36815920398009944;0.0;0.0;0.0
0.4413265306122449;0.5;0.6615384615384615;0.5695364238410596;0.3333333333333333;0.016260162601626018;0.0310077519379845;0.36257309941520466;0.512396694214876;0.42465753424657526;0.8333333333333334;0.05319148936170213;0.09999999999999999
0.5165562913907285;0.5345454545454545;0.7538461538461538;0.6255319148936169;0.0;0.0;0.0;0.5209580838323353;0.5087719298245614;0.514792899408284;0.0;0.0;0.0
0.4536082474226804;0.537712895377129;0.638728323699422;0.5838837516512551;0.0;0.0;0.0;0.3589041095890411;0.5954545454545455;0.4478632478632479;0.0;0.0;0.0
0.5100671140939598;0.5584415584415584;0.8151658767772512;0.6628131021194604;0.0;0.0;0.0;0.4462809917355372;0.43548387096774194;0.44081632653061226;0.18181818181818182;0.0625;0.09302325581395349
0.5577557755775577;0.6363636363636364;0.7869822485207101;0.7037037037037036;0.29411764705882354;0.10638297872340426;0.15625;0.4025974025974026;0.4246575342465753;0.4133333333333334;0.0;0.0;0.0
0.5308310991957105;0.5560747663551402;0.9037974683544304;0.6885245901639344;0.0;0.0;0.0;0.3979591836734694;0.20103092783505155;0.26712328767123283;0.0;0.0;0.0
0.5347222222222222;0.575;0.8961038961038961;0.700507614213198;0.0;0.0;0.0;0.3333333333333333;0.24060150375939848;0.27947598253275113;0.0;0.0;0.0
0.5675413022351797;0.619108280254777;0.8678571428571429;0.7226765799256506;0.12903225806451613;0.029197080291970802;0.047619047619047616;0.4413145539906103;0.34944237918215615;0.3900414937759336;0.0;0.0;0.0
0.5352697095435685;0.5814606741573034;0.8414634146341463;0.6877076411960132;0.0;0.0;0.0;0.4146341463414634;0.45132743362831856;0.43220338983050843;0.0;0.0;0.0
0.5100502512562815;0.6083333333333333;0.7104622871046229;0.6554433221099887;0.3149171270718232;0.44881889763779526;0.37012987012987014;0.4222222222222222;0.28078817733990147;0.33727810650887574;0.0;0.0;0.0
0.5200617283950617;0.5836734693877551;0.807909604519774;0.6777251184834123;0.11764705882352941;0.0449438202247191;0.06504065040650406;0.3790322580645161;0.27167630057803466;0.3164983164983165;0.0;0.0;0.0
0.5472636815920398;0.6031746031746031;0.8597285067873304;0.7089552238805971;0.3333333333333333;0.016666666666666666;0.031746031746031744;0.34523809523809523;0.29591836734693877;0.31868131868131866;0.0;0.0;0.0
0.5379061371841155;0.5476673427991886;0.9246575342465754;0.6878980891719745;0.3333333333333333;0.023809523809523808;0.044444444444444446;0.4727272727272727;0.16993464052287582;0.25;0.0;0.0;0.0
0.5576102418207681;0.631578947368421;0.835820895522388;0.7194860813704496;0.2571428571428571;0.09;0.13333333333333333;0.34558823529411764;0.28313253012048195;0.31125827814569534;0.0;0.0;0.0
0.5232067510548524;0.5784883720930233;0.8024193548387096;0.6722972972972973;0.07692307692307693;0.02040816326530612;0.03225806451612903;0.41025641025641024;0.3310344827586207;0.366412213740458;0.0;0.0;0.0
0.4673913043478261;0.5047021943573667;0.7419354838709677;0.6007462686567163;0.0;0.0;0.0;0.3897058823529412;0.3680555555555556;0.3785714285714286;0.2;0.03125;0.05405405405405406
0.4787234042553192;0.5370370370370371;0.7631578947368421;0.6304347826086957;0.1;0.013513513513513514;0.023809523809523808;0.3655913978494624;0.35789473684210527;0.36170212765957444;0.0;0.0;0.0
0.5101404056162246;0.5789473684210527;0.7857142857142857;0.6666666666666667;0.2;0.09473684210526316;0.12857142857142856;0.35537190082644626;0.28859060402684567;0.31851851851851853;0.0;0.0;0.0
0.515625;0.5289256198347108;0.8533333333333334;0.6530612244897959;0.3333333333333333;0.023529411764705882;0.04395604395604396;0.4714285714285714;0.3492063492063492;0.4012158054711246;0.6;0.09090909090909091;0.15789473684210525
0.5252387448840382;0.6635071090047393;0.7035175879396985;0.6829268292682926;1.0;0.02631578947368421;0.05128205128205127;0.3473684210526316;0.5561797752808989;0.42764578833693306;0.13043478260869565;0.06976744186046512;0.09090909090909091
0.5762942779291553;0.6390845070422535;0.8461538461538461;0.7281845536609829;0.16279069767441862;0.06542056074766354;0.09333333333333332;0.4214876033057851;0.32903225806451614;0.3695652173913043;1.0;0.046511627906976744;0.08888888888888888
0.5545134818288394;0.5809128630705395;0.9150326797385621;0.7106598984771574;0.3333333333333333;0.008849557522123894;0.017241379310344827;0.4094488188976378;0.2374429223744292;0.30057803468208094;0.0;0.0;0.0
0.5057034220532319;0.5446428571428571;0.8068783068783069;0.650319829424307;0.17647058823529413;0.02459016393442623;0.043165467625899276;0.42924528301886794;0.3872340425531915;0.407158836689038;0.0;0.0;0.0
0.5544412607449857;0.6304347826086957;0.8264248704663213;0.7152466367713005;0.3333333333333333;0.0070921985815602835;0.013888888888888888;0.3544973544973545;0.48201438848920863;0.40853658536585363;0.0;0.0;0.0
0.53125;0.564625850340136;0.8767605633802817;0.6868965517241379;0.3584905660377358;0.168141592920354;0.22891566265060243;0.46835443037974683;0.27611940298507465;0.3474178403755869;0.3333333333333333;0.022222222222222223;0.04166666666666667
