accuracy;precision_class_0;recall_class_0;f1_class_0;precision_class_1;recall_class_1;f1_class_1;precision_class_2;recall_class_2;f1_class_2;precision_class_3;recall_class_3;f1_class_3
0.579136690647482;0.579136690647482;1.0;0.7334851936218678;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.5501432664756447;0.6162790697674418;0.8368421052631579;0.7098214285714286;0.0;0.0;0.0;0.3626373626373626;0.38372093023255816;0.37288135593220334;0.0;0.0;0.0
0.5149425287356322;0.5570652173913043;0.8836206896551724;0.6833333333333332;0.5;0.04225352112676056;0.07792207792207793;0.26229508196721313;0.13675213675213677;0.17977528089887643;0.0;0.0;0.0
0.45188284518828453;0.4726166328600406;0.803448275862069;0.59514687100894;0.18840579710144928;0.1092436974789916;0.1382978723404255;0.5032258064516129;0.3132530120481928;0.38613861386138615;0.0;0.0;0.0
0.46683673469387754;0.5114678899082569;0.6861538461538461;0.5860709592641261;0.23529411764705882;0.06504065040650407;0.10191082802547771;0.4163934426229508;0.5247933884297521;0.4643510054844607;0.8888888888888888;0.0851063829787234;0.15533980582524273
0.5364238410596026;0.5435540069686411;0.8;0.6473029045643154;0.25;0.14893617021276595;0.18666666666666665;0.5615384615384615;0.4269005847953216;0.4850498338870432;0.875;0.175;0.29166666666666663
0.5309278350515464;0.5887640449438202;0.7572254335260116;0.6624525916561315;0.3448275862068966;0.16260162601626016;0.22099447513812157;0.45121951219512196;0.5045454545454545;0.4763948497854077;0.7037037037037037;0.21839080459770116;0.33333333333333337
0.5413870246085011;0.5845588235294118;0.7535545023696683;0.6583850931677019;0.25925925925925924;0.0875;0.13084112149532712;0.5071428571428571;0.5725806451612904;0.5378787878787878;0.625;0.15625;0.25
0.5214521452145214;0.6408839779005525;0.6863905325443787;0.6628571428571428;0.37037037037037035;0.2127659574468085;0.2702702702702703;0.3333333333333333;0.410958904109589;0.36809815950920244;0.4;0.14285714285714285;0.21052631578947364
0.5442359249329759;0.6659090909090909;0.7417721518987341;0.7017964071856286;0.22727272727272727;0.047619047619047616;0.07874015748031497;0.39215686274509803;0.5154639175257731;0.44543429844098;0.27586206896551724;0.15384615384615385;0.19753086419753088
0.5364583333333334;0.6346153846153846;0.75;0.6875;0.2558139534883721;0.12790697674418605;0.17054263565891473;0.4236111111111111;0.45864661654135336;0.4404332129963899;0.24;0.12244897959183673;0.16216216216216214
0.5724003887269193;0.6815384615384615;0.7910714285714285;0.7322314049586776;0.21212121212121213;0.15328467153284672;0.17796610169491528;0.4331983805668016;0.39776951672862454;0.41472868217054265;0.5454545454545454;0.2857142857142857;0.37499999999999994
0.5414937759336099;0.6564885496183206;0.6991869918699187;0.6771653543307087;0.5833333333333334;0.22580645161290322;0.3255813953488372;0.38953488372093026;0.5929203539823009;0.47017543859649125;0.08333333333333333;0.03333333333333333;0.04761904761904761
0.4899497487437186;0.6084070796460177;0.6690997566909975;0.6373117033603708;0.3333333333333333;0.14173228346456693;0.19889502762430938;0.340080971659919;0.41379310344827586;0.37333333333333335;0.3023255813953488;0.23636363636363636;0.26530612244897955
0.5432098765432098;0.6428571428571429;0.7372881355932204;0.6868421052631579;0.27450980392156865;0.15730337078651685;0.19999999999999998;0.40236686390532544;0.3930635838150289;0.3976608187134503;0.4090909090909091;0.28125;0.3333333333333333
0.5124378109452736;0.622568093385214;0.7239819004524887;0.6694560669456067;0.375;0.15;0.21428571428571425;0.31896551724137934;0.37755102040816324;0.34579439252336447;0.0;0.0;0.0
0.5342960288808665;0.6239067055393586;0.7328767123287672;0.674015748031496;0.28205128205128205;0.13095238095238096;0.17886178861788618;0.4233128834355828;0.45098039215686275;0.4367088607594937;0.2222222222222222;0.08;0.11764705882352941
0.5561877667140825;0.6637931034482759;0.7661691542288557;0.7113163972286374;0.23255813953488372;0.1;0.13986013986013987;0.3987730061349693;0.39156626506024095;0.3951367781155016;0.24242424242424243;0.22857142857142856;0.23529411764705885
0.5717299578059072;0.6882591093117408;0.6854838709677419;0.6868686868686867;0.20512820512820512;0.16326530612244897;0.1818181818181818;0.49444444444444446;0.6137931034482759;0.5476923076923076;0.5;0.125;0.2
0.4652173913043478;0.5645161290322581;0.6451612903225806;0.6021505376344086;0.23076923076923078;0.1791044776119403;0.20168067226890757;0.3819444444444444;0.3819444444444444;0.3819444444444445;0.4375;0.21875;0.2916666666666667
0.4627659574468085;0.548936170212766;0.6789473684210526;0.6070588235294118;0.3235294117647059;0.14864864864864866;0.20370370370370372;0.37209302325581395;0.3368421052631579;0.3535911602209945;0.09523809523809523;0.11764705882352941;0.10526315789473684
0.5538221528861155;0.6302325581395349;0.7742857142857142;0.6948717948717948;0.3392857142857143;0.2;0.25165562913907286;0.43356643356643354;0.4161073825503356;0.4246575342465753;0.25;0.06382978723404255;0.10169491525423728
0.484375;0.5775401069518716;0.72;0.6409495548961425;0.2222222222222222;0.16470588235294117;0.18918918918918917;0.39655172413793105;0.36507936507936506;0.38016528925619836;0.3793103448275862;0.16666666666666666;0.23157894736842105
0.5634379263301501;0.6710816777041942;0.7638190954773869;0.7144535840188013;0.36363636363636365;0.17543859649122806;0.23668639053254437;0.40782122905027934;0.4101123595505618;0.4089635854341736;0.34782608695652173;0.37209302325581395;0.35955056179775285
0.5217983651226158;0.6644736842105263;0.7062937062937062;0.6847457627118644;0.11864406779661017;0.06542056074766354;0.08433734939759036;0.3463414634146341;0.45806451612903226;0.3944444444444444;0.14285714285714285;0.046511627906976744;0.07017543859649122
