accuracy;precision_class_0;recall_class_0;f1_class_0;precision_class_1;recall_class_1;f1_class_1;precision_class_2;recall_class_2;f1_class_2
0.7586206896551724;0.8333333333333334;0.5555555555555556;0.6666666666666667;0.7;0.7777777777777778;0.7368421052631577;0.7692307692307693;0.9090909090909091;0.8333333333333333
0.6438356164383562;0.5333333333333333;0.43956043956043955;0.4819277108433735;0.3125;0.4098360655737705;0.35460992907801425;0.8095238095238095;0.7981220657276995;0.8037825059101654
0.7;1.0;0.5;0.6666666666666666;0.0;0.0;0.0;0.7142857142857143;1.0;0.8333333333333333
0.46685082872928174;0.35789473684210527;0.30357142857142855;0.32850241545893716;0.5353535353535354;0.3925925925925926;0.452991452991453;0.4880952380952381;0.7130434782608696;0.5795053003533569
0.2;0.3333333333333333;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.2222222222222222;0.6666666666666666;0.3333333333333333
0.5574162679425837;0.568;0.4965034965034965;0.5298507462686566;0.3394495412844037;0.37755102040816324;0.357487922705314;0.6793478260869565;0.7062146892655368;0.6925207756232687
0.6875;0.5714285714285714;0.8;0.6666666666666666;0.6;0.75;0.6666666666666665;1.0;0.5714285714285714;0.7272727272727273
0.47540983606557374;0.3877551020408163;0.4222222222222222;0.40425531914893614;0.42857142857142855;0.3157894736842105;0.36363636363636365;0.6;0.6923076923076923;0.6428571428571429
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.6477272727272727;0.3770491803278688;0.46938775510204084;0.41818181818181815;0.4888888888888889;0.4;0.44000000000000006;0.7974683544303798;0.7875;0.7924528301886793
0.8;1.0;1.0;1.0;1.0;0.5;0.6666666666666666;0.5;1.0;0.6666666666666666
0.576017130620985;0.49230769230769234;0.45714285714285713;0.4740740740740741;0.6319444444444444;0.5141242937853108;0.5669781931464175;0.5906735751295337;0.76;0.6647230320699707
0.8;1.0;0.8;0.888888888888889;1.0;0.6666666666666666;0.8;0.6153846153846154;1.0;0.761904761904762
0.5648535564853556;0.5;0.4657534246575342;0.48226950354609927;0.4861111111111111;0.5072463768115942;0.49645390070921985;0.6666666666666666;0.6804123711340206;0.673469387755102
0.6666666666666666;0.3333333333333333;1.0;0.5;0.0;0.0;0.0;1.0;1.0;1.0
0.5826086956521739;0.28205128205128205;0.5;0.36065573770491804;0.47058823529411764;0.42105263157894735;0.4444444444444444;0.8135593220338984;0.6486486486486487;0.7218045112781954
0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
0.5478260869565217;0.48120300751879697;0.38323353293413176;0.42666666666666664;0.631578947368421;0.45714285714285713;0.5303867403314917;0.5344827586206896;0.7828282828282829;0.6352459016393444
0.5517241379310345;0.5714285714285714;0.3076923076923077;0.4;0.4;0.4;0.4000000000000001;0.5882352941176471;0.9090909090909091;0.7142857142857143
0.6428571428571429;0.48360655737704916;0.5673076923076923;0.5221238938053097;0.43703703703703706;0.5221238938053098;0.47580645161290325;0.8340080971659919;0.7177700348432056;0.7715355805243445
0.6170212765957447;0.35714285714285715;0.625;0.45454545454545453;0.5;0.5;0.5;0.8;0.6451612903225806;0.7142857142857142
0.5910891089108911;0.4634146341463415;0.3890784982935154;0.42300556586270877;0.5072463768115942;0.5035971223021583;0.5054151624548736;0.7028688524590164;0.7813211845102506;0.7400215749730312
0.5;0.6;0.45;0.5142857142857143;0.3333333333333333;0.4444444444444444;0.380952380952381;0.5263157894736842;0.5882352941176471;0.5555555555555555
0.6579841449603624;0.41040462427745666;0.3837837837837838;0.3966480446927374;0.5435897435897435;0.5408163265306123;0.5421994884910486;0.7844660194174757;0.8047808764940239;0.7944936086529006
0.6271186440677966;0.2857142857142857;0.3333333333333333;0.30769230769230765;0.46153846153846156;0.5;0.48000000000000004;0.84375;0.7714285714285715;0.8059701492537314
0.6294416243654822;0.4444444444444444;0.5283018867924528;0.48275862068965514;0.4583333333333333;0.4583333333333333;0.4583333333333333;0.8604651162790697;0.7708333333333334;0.8131868131868132
0.5555555555555556;0.4;0.6666666666666666;0.5;1.0;0.5;0.6666666666666666;0.6666666666666666;0.5;0.5714285714285715
0.6331658291457286;0.3916083916083916;0.36363636363636365;0.37710437710437716;0.4824120603015075;0.5245901639344263;0.5026178010471204;0.775330396475771;0.7668845315904139;0.7710843373493977
0.5961538461538461;0.5555555555555556;0.8333333333333334;0.6666666666666667;0.4444444444444444;0.2857142857142857;0.34782608695652173;0.68;0.6538461538461539;0.6666666666666666
0.6781609195402298;0.5555555555555556;0.6666666666666666;0.606060606060606;0.6415094339622641;0.5964912280701754;0.6181818181818182;0.8059701492537313;0.75;0.776978417266187
0.6666666666666666;0.4;0.4;0.4000000000000001;0.5;0.6;0.5454545454545454;1.0;0.875;0.9333333333333333
0.6945812807881774;0.4489795918367347;0.3776824034334764;0.41025641025641024;0.543026706231454;0.5772870662460567;0.5596330275229358;0.8063063063063063;0.8220436280137773;0.8140989198408187
0.6487603305785123;0.5106382978723404;0.42105263157894735;0.4615384615384615;0.5925925925925926;0.5714285714285714;0.5818181818181818;0.7163120567375887;0.7829457364341085;0.748148148148148
0.6851851851851852;0.3191489361702128;0.3488372093023256;0.3333333333333333;0.4177215189873418;0.6226415094339622;0.4999999999999999;0.8787878787878788;0.7631578947368421;0.8169014084507042
0.6666666666666666;1.0;0.4;0.5714285714285715;0.0;0.0;0.0;1.0;0.8571428571428571;0.923076923076923
